epoch,negative_elbo
1,342.8979314358283
2,336.5464675235647
3,336.0224486262465
4,334.1706103932514
5,333.42314849820946
6,331.89645499735275
7,331.07798029391716
8,330.5386948234371
9,330.23538318743954
10,330.06081492160405
11,329.9321436276431
12,329.8760957667006
13,329.82498390417595
14,329.81273521659466
15,329.76392754521163
16,329.76737932105453
epoch,negative_elbo
1,10296.225490053028
2,8107.403979518243
3,7645.173879193903
4,7404.012920432564
5,7246.112855502101
6,7139.224176852655
7,7071.245484049827
8,7004.103420782751
9,6960.808534864428
10,6904.723313371298
11,6871.985269748032
12,6829.519051827641
13,6802.602716240328
14,6771.088067281717
15,6751.715317961246
16,6731.340219992329
17,6715.999446058731
18,6703.079240699206
19,6685.086501863494
20,6678.130412261539
