21,527041.3042709337
22,347679.928233253
23,71406.9388733876
24,21216.39981604674
25,19493.318253005273
26,18390.132171724865
27,17494.87401073184
28,16606.146564170616
29,15794.80193668583
30,15015.814616107635
31,14355.930481086294
32,13783.195742945967
33,13222.30701557238
34,12763.558702651932
35,12340.136370525259
36,11988.364806680669
37,11687.562150234558
38,11453.050073992217
39,11280.910782198684
40,11138.437395568246
epoch,negative_elbo
1,535917.2964126484
2,362317.2018510193
3,258662.43643673536
4,148216.01788219195
5,20772.43472150833
6,18473.360151722674
7,17225.60380180719
epoch,negative_elbo
1,506701.83630373905
2,327868.34200524853
3,41869.3252498785
4,22926.35868564031
5,21720.885940492128
6,20313.494636570453
7,19308.326930095824
8,18328.876531491725
9,17363.451808631176
10,16444.118966635415
11,15580.642122481091
12,14730.422358971202
13,14040.306527818098
14,13502.394942188928
15,13008.832085591364
16,12643.807857817295
17,12338.229181592595
18,12104.234080176037
19,11922.370324364761
20,11782.101657222533
epoch,negative_elbo
1,520061.0146463288
2,324603.2135344314
3,156623.06065234685
4,22020.360028409246
5,19556.208047499178
6,18285.59143149313
7,17219.824784436845
8,16227.637444454796
9,15379.047875926695
10,14630.958392809875
11,13977.672704718325
12,13384.457675800528
13,12850.14334779693
14,12347.847827908998
